41 2.080088
47 2.094198
48 2.093505
48 1.928215
48 2.002088
50 2.05028
52 1.9416
52 1.991553
52 2.012295
52 1.963762
52 2.038028
54 1.854738
55 1.780155
55 1.902472
55 1.62119
57 1.954315
57 1.977503
57 1.870343
57 1.89101
57 1.698701
57 2.025594
57 2.063909
59 1.843541
59 1.687293
59 1.81673
59 1.633426
59 1.794815
59 1.659281
60 1.740151
60 1.712583
60 1.764467
62 1.806095
62 1.915064
62 1.751938
62 1.646494
62 1.724288
62 1.830392
62 1.880662
62 1.673369
64 0.444502
64 0.424651
64 0.406228
64 0.435104
65 0.419437
65 0.430078
65 0.439709
72 2.052761
72 2.078265
74 1.459665
74 1.754167
74 1.602073
76 2.002163
77 1.784131
78 1.700059
78 2.077781
78 2.05338
79 1.782517
79 1.831962
79 1.622225
79 1.673803
81 1.816078
81 1.657669
81 1.928839
81 2.079618
83 1.904292
83 1.965847
84 1.978991
84 1.855904
