74 16.9812049866
79 17.2406408787
59 17.2418549061
55 17.2421147823
81 17.4217720032
55 17.5726389885
79 17.5772659779
59 17.5819139481
57 17.7863469124
60 17.7898728848
78 17.8013288975
74 18.1706218719
55 18.3644769192
59 18.3725078106
79 18.3760128021
81 18.5301978588
55 18.7012748718
79 18.7013599873
59 18.716105938
57 18.8976027966
84 18.9078807831
54 18.9227368832
55 19.2370078564
83 19.2553808689
52 19.4504368305
81 19.4731698036
48 19.4777638912
83 19.6640648842
81 19.763450861
76 19.9760529995
81 20.3189067841
60 20.3258099556
59 20.5566518307
79 20.5602779388
50 20.5661218166
78 21.0404169559
50 21.0508389473
57 21.0600619316
